source,target
797581908892848128,2835451658
20954764,2835451658
1254400977005940744,2835451658
21603495,2835451658
542119566,2835451658
3227794171,2835451658
1004425774982729730,819993558992166913
2950356681,819993558992166913
708746046793355264,2835451658
514412107,36713389
82472590,1288231683230011394
3091392460,1220249138664738821
2691408012,2835451658
2691408012,151175266
24677514,65698096
1302748644425175040,2835451658
37820726,2215324790
206179593,214924095
2941978445,1165563140144291840
929065147,1297331508156534784
1342203822828093457,534881613
53818115,534881613
2796121842,29495695
827574513630011392,941754604118831105
522647675,2835451658
1235134740249710595,1322540525568761860
171057050,229828729
3169398883,17133739
3618841873,3618841873
3618841873,14592411
1101170964807671808,17133739
468517938,112754792
314669283,112754792
3295050134,112754792
869107766,2835451658
1196430521892528129,2835451658
1063496010,112754792
1325468814486761474,17629860
843938541285658625,1394491848
79682039,3191760099
1315289605852332034,1296134026282115077
1452668023,2835451658
38249622,2835451658
1584083743,2835451658
1190584502302593024,2835451658
774639942953799680,2835451658
956045477014892545,2835451658
1091713094248775680,1265487884
706203423809507328,2835451658
1399124652,2835451658
1279813398667169792,2835451658
164748434,986232040021549056
836273801734328321,2835451658
3234425317,2835451658
831161661226627073,2835451658
1063495347832541184,229828729
1319783240132141057,1333774146807980033
2190527462,2835451658
19590930,964948385018019840
1268084649848385538,2835451658
4253745855,229828729
1267543166577602560,2835451658
138683723,2835451658
3099088677,298652581
894207135562772481,22991930
1069734932828704768,3408519333
785906855121817600,2835451658
1171546411177074688,1043185714437992449
580000094,1196074955240345600
812102108103049216,2835451658
812102108103049216,151175266
252762033,860731397916549121
252762033,41778159
252762033,7174972
252762033,14486827
1148413709930258433,2835451658
1148413709930258433,151175266
199252687,2835451658
47659315,833752524775645184
2237984875,607159536
1180420901977886720,1133089034161590272
911056410225635330,2835451658
1268390412445798404,2835451658
1268390412445798404,151175266
51438744,1007780055131574272
2968565507,2835451658
2968565507,151175266
18192521,2835451658
18192521,151175266
18817631,2835451658
1235638282228305921,2835451658
1312555719577808898,2835451658
1312555719577808898,151175266
1207862940159926272,2835451658
1207862940159926272,151175266
1968828494,16525183
1128783863533264896,16525183
1253168237128192002,2835451658
1253168237128192002,151175266
1087523328712048640,2835451658
1087523328712048640,151175266
22223902,2835451658
1179770392409497600,2835451658
1179770392409497600,151175266
805052193397231616,2835451658
18309034,229828729
947103457931964416,2835451658
947103457931964416,151175266
1277259486562906115,2835451658
793693663,2835451658
793693663,151175266
1100567685669273600,2835451658
1100567685669273600,151175266
2899924870,2835451658
1190584502302593024,2835451658
1178828893404332032,2835451658
929793010191294470,2835451658
1248036411485364225,2835451658
361168268,2835451658
69595731,2835451658
372035034,1227559451332247552
2861626031,2835451658
1217199734982692866,138203134
1217199734982692866,30354991
1217199734982692866,216776631
1217199734982692866,939091
2949342472,3026628641
894207135562772481,767846490756771840
1293274976406114304,1147436119824486402
2785332022,3408519333
1703166967,41160276
2753074760,345371209
35309264,2819481453
1056116046762000384,925739100115820545
83423958,1251233615066935297
65241948,1360406988576985089
65241948,778763106289758208
1150894626854842368,2284772040
199795267,2215324790
2192010002,41160276
268112234,1298337812501078016
956836572363743232,1251233615066935297
131933006,939366737413251072
1602242072,757959271506124800
1602242072,851969019372548096
1602242072,1064603540956565504
1602242072,1095089718264512514
1602242072,1332012003104223232
1143461461223727104,3408519333
991425447610241024,1080402760955244544
991425447610241024,347228796
991425447610241024,43419971
991425447610241024,370112160
991425447610241024,53003895
1124730315573006338,41160276
2538139291,851126732929343488
2538139291,879503168069095425
2538139291,55054069
2538139291,1323490336082153472
2538139291,2233154425
17581050,23951440
82210282,23951440
1099612599103246336,2835451658
977926988030730240,50055701
977926988030730240,11134252
1221022446616285184,3115992765
1221022446616285184,2545743991
1300947770157785092,249270985
199414002,1249718704054718464
3251833699,2835451658
4692127664,23951440
1183664409123516422,240698532
4552716375,2835451658
35809936,23951440
17045842,41160276
1244161604603781120,23951440
1466349024,23951440
1078105775720091649,23951440
46710093,23951440
882124145797906432,23951440
718159937155776512,3115992765
718159937155776512,2545743991
3308286889,23951440
4729585394,2835451658
3644915056,23951440
757779063821983744,1222242443623616512
1006633326986182656,586707638
1006633326986182656,25073877
1006633326986182656,25073877
1006633326986182656,586707638
1006633326986182656,187680645
1006633326986182656,770781940341288960
1006633326986182656,729676086632656900
1145588887890341889,391557964
3317732981,772983644738711552
2704751330,1007560450748354560
1082570466055794688,831970851444576256
1082570466055794688,18228178
1082570466055794688,18953824
1204970635257974784,1254708259283320834
1338707944163209217,60680268
1315508949903388673,924755909968039937
884852778442665985,2835451658
781203382119731201,2835451658
1329461810068664321,41160276
438013425,2835451658
817746312632397828,2835451658
2814876756,2835451658
4803873902,2835451658
387043108,2835451658
1325549016558530561,1008377056122376192
1325549016558530561,25073877
4195131059,2835451658
109400886,2835451658
1320424926130491393,2835451658
3199031350,849568111
1232336151568158724,2835451658
2779298554,2835451658
804332077600665600,2835451658
1259917450096922629,2835451658
2301612055,2730264319
345402650,2835451658
1325549016558530561,25073877
1158773338174443521,2835451658
826597035424022529,2835451658
1315424141248475138,1267973798625775616
21225955,2835451658
35494338,2835451658
1050806765619687424,2835451658
22311924,2835451658
94664305,2835451658
54107183,2835451658
784990648478740481,2835451658
1278507894477070336,2835451658
822300206469443584,2835451658
451589302,2835451658
514840946,2835451658
1271172787277725696,2835451658
1318598629138092033,15109516
624030989,2835451658
1209091716302561282,2835451658
1042993542946115584,2835451658
3292431476,117410526
3292431476,128676053
1298539371675750407,1141474611537702913
1204970635257974784,1339186948695453697
1077567166168346624,69281027
911926266063966208,139823781
894207135562772481,22991930
850246372208988165,89842963
850246372208988165,939091
1245899867928571905,23951440
913918999322398720,805529227147628544
2449913803,24471951
988419512637804544,293203389
988419512637804544,739610364975808513
51304150,47781149
51304150,233737858
1033031826619686912,298652581
1033031826619686912,3289440085
1450555226,41160276
858349849686810624,1251395718591451136
76588096,10228272
238650355,57405072
1241839776069832705,41160276
230434372,135623999
230434372,7174972
244781367,47781149
244781367,233737858
41888720,41160276
1230554144265711616,47781149
1230554144265711616,233737858
511293519,47781149
511293519,233737858
978416508748685313,836278372539985920
246133609,3408519333
1325549016558530561,393190233
1325549016558530561,822830346098135042
1265487884,16041234
1265487884,2990193690
2434369718,1011068228603441152
1218736525703139328,240698532
809115114,298652581
809115114,3289440085
1271274279934492673,3408519333
1192621373983776769,47781149
1192621373983776769,586707638
1192621373983776769,187680645
1192621373983776769,38495835
1192621373983776769,208155240
1192621373983776769,90480218
1192621373983776769,18266688
1192621373983776769,877985300466745344
846830154898845700,895814938995957760
846830154898845700,119635462
846830154898845700,1265331524284477440
1134719996192612352,1260362925044350976
68149768,47781149
68149768,586707638
68149768,187680645
68149768,38495835
68149768,208155240
68149768,90480218
68149768,18266688
68149768,877985300466745344
39113765,1267973798625775616
37952000,47781149
37952000,586707638
37952000,187680645
37952000,38495835
37952000,208155240
37952000,90480218
37952000,18266688
37952000,877985300466745344
